cnuc;uc;catsigla;catnome;grupo;criacao;cr;area_geo;biocgfun;prodes;2.018;2.017;2.016;2015;2014;2013;2012;2011;2010;2009;2008;;2007;2006;2005;2004;2003;2002;2001;2000;1997;;
0000.00.0001;APA Anhatomirim;APA;Área de Proteção Ambiental;uso sustentável;1992;CR9 Florianópolis/SC;4.437;Marinho-Costeiro;Não;;;;;;;;;;;;;;;;;;;;;;;
0000.00.1521;APA Bacia Hidrográfica do Rio Paraíba do Sul;APA;Área de Proteção Ambiental;uso sustentável;1982;CR8 Rio de Janeiro/RJ;292.600;Mata Atlântica;Não;;;;;;;;;;;;;;;;;;;;;;;
0000.00.0007;APA Barra do Rio Mamanguape;APA;Área de Proteção Ambiental;uso sustentável;1993;CR6 Cabedelo/PB;14.918;Marinho-Costeiro;Não;;;;;;;;;;;;;;;;;;;;;;;
0000.00.0020;APA Carste da Lagoa Santa;APA;Área de Proteção Ambiental;uso sustentável;1990;CR11 Lagoa Santa/MG;39.957;Cerrado;Sim;1,7;55,1;5,4;28,4;180,7;160,7;66,6;66,6;30,6;30,6;218,7;;218,7;293,4;293,4;390,7;390,7;333,1;333,1;24.379,8;;;
0000.00.0002;APA Cavernas do Peruaçu;APA;Área de Proteção Ambiental;uso sustentável;1989;CR11 Lagoa Santa/MG;143.356;Cerrado;Sim;27,0;90,3;15,5;95,8;174,5;496,1;562,0;562,0;522,1;522,1;127,9;;127,9;1.455,2;1.455,2;1.442,0;1.442,0;824,0;824,0;7.048,6;;;
0000.00.0008;APA Chapada do Araripe;APA;Área de Proteção Ambiental;uso sustentável;1997;CR6 Cabedelo/PB;972.605;Caatinga;Não;;;;;;;;;;;;;;;;;;;;;;;
0000.00.1912;APA Costa das Algas;APA;Área de Proteção Ambiental;uso sustentável;2010;CR7 Porto Seguro/BA;114.805;Mata Atlântica;Não;;;;;;;;;;;;;;;;;;;;;;;
0000.00.0022;APA do Igarapé Gelado;APA;Área de Proteção Ambiental;uso sustentável;1989;CR4 Belém/PA;23.285;Amazônia;Sim;;;0,1;;;9,9;;;10,9;;123,1;;79,6;66,1;186,7;230,8;81,4;202,7;87,1;1.326,3;6.436,6;;
0000.00.0023;APA do Planalto Central;APA;Área de Proteção Ambiental;uso sustentável;2002;CR11 Lagoa Santa/MG;503.423;Cerrado;Sim;634,1;521,3;324,2;513,3;1.673,2;2.194,2;599,9;599,9;667,6;667,6;896,7;;896,7;2.694,5;2.694,5;8.093,5;8.093,5;1.198,0;1.198,0;199.766,9;;;
0000.00.0029;APA Serra da Ibiapaba;APA;Área de Proteção Ambiental;uso sustentável;1996;CR5 Parnaíba/PI;1.628.450;Caatinga;Sim;98,4;19,1;49,5;51,0;303,0;66,1;24,5;24,5;18,1;18,1;41,7;;41,7;182,4;182,4;51,6;51,6;42,0;42,0;503,6;;;
0000.00.0011;APA Serra da Mantiqueira;APA;Área de Proteção Ambiental;uso sustentável;1985;CR8 Rio de Janeiro/RJ;421.809;Mata Atlântica;Não;;;;;;;;;;;;;;;;;;;;;;;
0000.00.1683;APA Serra da Meruoca;APA;Área de Proteção Ambiental;uso sustentável;2008;CR5 Parnaíba/PI;29.362;Caatinga;Não;;;;;;;;;;;;;;;;;;;;;;;
0000.00.0012;APA Serra da Tabatinga;APA;Área de Proteção Ambiental;uso sustentável;1990;CR5 Parnaíba/PI;35.186;Cerrado;Sim;2.518,4;432,0;14,9;411,0;1.466,7;671,3;1.351,8;1.351,8;945,4;945,4;3.084,5;;3.084,5;873,0;873,0;1.726,1;1.726,1;1.247,3;1.247,3;9.970,4;;;
0000.00.0021;APA Ibirapuitã;APA;Área de Proteção Ambiental;uso sustentável;1992;CR9 Florianópolis/SC;316.792;Pampas;Não;;;;;;;;;;;;;;;;;;;;;;;
