IDEmbarcacao;Nome da Embarcação;Ano da Construção da Embarcação;Codigo do Tipo de Material do Casco;Tipo de Material do Casco;Codigo do Tipo da Embarcação;Tipo de Embarcação;Codigo do País Atual;Codigo do País de Origem;Boca;Calado;Comprimento;TPB
58114;SC 59;2017;1;Aço;39;BALSA;BR;BR;15;4,18;75;3403,56
58104;VITÓRIA DE DEUS IX;2013;1;Aço;39;BALSA;BR;BR;10;;42;492,96
48929;BALSA PRAIA BONITA;2001;1;Aço;39;BALSA;BR;BR;6;0,6;20;40
58202;CT 48;2017;1;Aço;39;BALSA;BR;BR;16,56;4,3;75;3775,04
49021;PRATES VI;2013;1;Aço;39;BALSA;BR;BR;24,2;2,41;80;3402,1
58215;WPL 2020;2017;1;Aço;39;BALSA;BR;BR;17;4,16;75;3738,15
58307;BERTOLINI CDLXXIII (473);2017;1;Aço;39;BALSA;BR;BR;12;4,09;62;2556,16
48919;LAS VEGAS I;2010;1;Aço;39;BALSA;BR;BR;15;2,53;65;1702,23
49556;GLÓRIA DE DEUS XIII;2011;1;Aço;39;BALSA;BR;BR;10;1,87;42;573,21
48918;PEIXOTINHO I;2009;1;Aço;39;BALSA;BR;BR;15;2,52;65;1743,92
48964;BERTOLINI CCLXI (261);2013;1;Aço;39;BALSA;BR;BR;12;4,07;62;2671,9
49560;ALLAN MIRANDA;2012;1;Aço;39;BALSA;BR;BR;12;1,93;42;688,91
49570;SÃO GABRIEL;2012;1;Aço;39;BALSA;BR;BR;12;1,96;42;650
49498;BERTOLINI CCLXXI (271);2013;1;Aço;39;BALSA;BR;BR;12;;62;2529,89
49499;BERTOLINI CCXCIX (299);2013;1;Aço;39;BALSA;BR;BR;7,5;;29,2;133,42
49572;DONA IVANEIDE II;2010;1;Aço;39;BALSA;BR;BR;10;1,84;42;550,44
49565;FUKA;2013;1;Aço;39;BALSA;BR;BR;12;1,91;42;623,45
49561;SAZ I;2012;1;Aço;39;BALSA;BR;BR;10;1,86;42;555,69
49558;ALAEL MIRANDA;2013;1;Aço;39;BALSA;BR;BR;12;2,2;42;688,91
49559;GM III;2012;1;Aço;39;BALSA;BR;BR;12;1,76;42;586,79
49496;BERTOLINI CCLXV (265);2013;1;Aço;39;BALSA;BR;BR;12;4,08;62;2529,89
49497;BERTOLINI CCLXVII (267);2013;1;Aço;39;BALSA;BR;BR;12;4,07;62;2671,9
58296;BERTOLINI CDLXXIX (479);2017;1;Aço;39;BALSA;BR;BR;12;4,07;62;2698,2
49495;BERTOLINI CCLXIX (269);2013;1;Aço;39;BALSA;BR;BR;12;4,08;62;2529,89
49266;CECI SALES;2010;1;Aço;39;BALSA;BR;BR;18;2,92;77;2800
58065;ETERNAL VI;2012;1;Aço;39;BALSA;BR;BR;9,6;1,49;36;343,7
58093;CIGANA;2015;1;Aço;39;BALSA;BR;BR;5,2;0,87;32,1;71,75
49064;GALO DA SERRA LIX;2013;1;Aço;39;BALSA;BR;BR;15;2;62;1511,88
49212;LARA 2009;2009;1;Aço;39;BALSA;BR;BR;21;2,29;75;2076,33
58009;CT 47;2017;1;Aço;39;BALSA;BR;BR;16,56;4,3;75;3775,04
49094;VALÕES;2008;1;Aço;39;BALSA;BR;BR;6;0,7;16;40
50006;SÃO GALVÃO;2010;1;Aço;39;BALSA;BR;BR;11;1,86;43;635
50240;DONA RAIMUNDA III;2011;1;Aço;39;BALSA;BR;BR;21;2,94;84;3360
49265;TQ-166;2013;1;Aço;39;BALSA;BR;BR;10,68;3,04;59,47;1637,78
49081;RN 11;2013;1;Aço;39;BALSA;BR;BR;16,56;4,03;75;3242,08
58017;CT 44;2017;1;Aço;39;BALSA;BR;BR;15;0,01;75;0,01
49566;FEPA;2013;1;Aço;39;BALSA;BR;BR;12;1,91;42;623,45
49020;PRATES V;2013;1;Aço;39;BALSA;BR;BR;24,2;2,79;80;3372
